dt,city,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1736078400,Nairobi,1,297.07,0.28,1.35,54.36,1.89,4.18,10.58,2.85
1736082000,Nairobi,1,307.08,0.33,1.69,53.64,2.26,4.41,11.19,3.1
1736085600,Nairobi,1,320.43,0.37,2.25,52.21,2.44,4.8,12.64,3.48
1736089200,Nairobi,1,327.11,0.28,2.91,47.92,2.44,5.24,14.14,3.7
1736092800,Nairobi,1,337.12,0.03,3.38,43.99,2.44,6.25,17.53,4.18
1736096400,Nairobi,2,357.15,0.0,3.6,42.2,2.68,7.86,22.01,4.94
1736100000,Nairobi,2,373.84,0.0,3.73,41.48,2.95,8.98,24.95,5.38
1736103600,Nairobi,2,413.89,0.0,3.81,40.41,2.71,10.62,28.66,6.27
1736107200,Nairobi,2,440.6,0.0,3.9,39.7,2.26,11.65,31.52,6.52
1736110800,Nairobi,2,427.25,0.0,3.43,40.05,1.83,10.69,30.93,5.64
1736114400,Nairobi,2,487.33,0.0,3.26,39.34,1.64,12.02,35.14,6.78
1736118000,Nairobi,2,540.73,0.0,2.91,38.98,1.43,13.55,40.45,7.54
1736121600,Nairobi,2,560.76,0.0,2.72,38.98,1.27,14.55,43.59,7.6
1736125200,Nairobi,2,580.79,0.0,2.87,37.55,1.18,15.75,46.29,7.35
1736128800,Nairobi,2,607.49,0.0,3.26,35.41,1.09,17.22,49.1,7.22
1736132400,Nairobi,3,654.22,0.0,4.33,33.26,1.21,19.53,53.06,7.73
1736136000,Nairobi,3,827.79,0.02,8.57,29.33,2.12,29.09,66.39,11.78
1736139600,Nairobi,3,1001.36,1.27,11.65,32.9,3.07,37.43,79.15,17.99
1736143200,Nairobi,3,947.95,1.34,8.57,66.52,4.05,36.94,78.05,17.99
1736146800,Nairobi,2,500.68,0.51,3.17,72.96,4.59,17.58,44.09,8.36
1736150400,Nairobi,2,423.91,0.42,2.46,70.81,4.05,14.86,38.07,6.71
